indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Landscape Data,PSUMPY_2004_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2004_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2004WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2005_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2005_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2005WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2008_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2008_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2008WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2009_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2009_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2009WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2013_PT,Yes,NRSA 1314 Landscape Metrics,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2013–2014 + 2018–2019,EPA label differs and/or is blank across cycles
Landscape Data,PSUMPY_2013_WS,Yes,NRSA 1314 Landscape Metrics,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,PSUMPY_2013_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2013WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2014_PT,Yes,NRSA 1314 Landscape Metrics,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2013–2014 + 2018–2019,EPA label differs and/or is blank across cycles
Landscape Data,PSUMPY_2014_WS,Yes,NRSA 1314 Landscape Metrics,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,PSUMPY_2014_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2014WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2018_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2018_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2018WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2019_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2019_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,PSUMPY_2019WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi, where xi = the modeled total precipitation (mm) for month i (5-12) of the previous year and month i (1-4) of the sampling year. This value estimates the total precipitation for the 12 months prior to the field sampling season. Each value represents a 2 x 2 kilometer cell (http://www.prism.oregonstate.edu).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,QTSDVOL,No,,,Yes,NRSA 1819 Landscape,"Percentage of the watershed covered by any of the geology types QTRNRY, SDMNTRY, or VOLCANIC. Values 5, 6, or 7. (Reed & Bush, 2001)",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RCKDEP_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all rckdep values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RCKDEPWS,No,,,Yes,NRSA 1819 Landscape,Mean of all rckdep values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDCRS_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Sum of all rdstrcrs values within the upstream watershed (Ws) divided by the area of each Cat and Ws.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDCRSSLPWTDWS,No,,,Yes,NRSA 1819 Landscape,Sum of all rdstrcrs values within the upstream watershed (Ws) multiplied by NHDPlusV21 slope and divided by the area of each Cat and Ws.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDCRSWS,No,,,Yes,NRSA 1819 Landscape,Sum of all rdstrcrs values within the upstream watershed (Ws) divided by the area of each Cat and Ws.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDDENS_WS,Yes,NRSA 1314 Landscape Metrics,Watershed road density (km/km2),No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,RDDENS_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all rddens values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDDENS_WS_PCTFULLRP100,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Density of roads (2010 Census Tiger Lines) within watershed and within a 100-m buffer of NHD stream lines (km/square km),No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDDENSWS,No,,,Yes,NRSA 1819 Landscape,Mean of all rddens values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDDENSWSRP100,No,,,Yes,NRSA 1819 Landscape,Density of roads (2010 Census Tiger Lines) within watershed and within a 100-m buffer of NHD stream lines (km/square km),No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDH_PT,Yes,NRSA 1314 Landscape Metrics,Site mean of the high values of depth to bedrock (inches) of soils from the State Soil Geographic (STATSGO) Database.,Yes,NRSA 1819 Landscape,Site mean of the high values of depth to bedrock (inches) of soils from the State Soil Geographic (STATSGO) Database.,No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Landscape Data,RDH_WS,Yes,NRSA 1314 Landscape Metrics,Site mean of the high values of depth to bedrock (inches) of soils from the State Soil Geographic (STATSGO) Database.,No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,RDH_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Site mean of the high values of depth to bedrock (inches) of soils from the State Soil Geographic (STATSGO) Database.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RDHWS,No,,,Yes,NRSA 1819 Landscape,Site mean of the high values of depth to bedrock (inches) of soils from the State Soil Geographic (STATSGO) Database.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,REACH_COMID,Yes,NRSA 1314 Landscape Metrics,NHDPlus COMID for the stream reach,No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,RHMEAN_PT,Yes,NRSA 1314 Landscape Metrics,"GIS raster calculated as (SUMxi / 12) / 30, where xi = the modeled mean relative humidity (%) for month i (1-12). Values based on 30 years (1961-1990) of PRISM climate estimates. Each value represents a 2 x 2 kilometer cell",Yes,NRSA 1819 Landscape,"GIS raster calculated as (SUMxi / 12) / 30, where xi = the modeled mean relative humidity (%) for month i (1-12). Values based on 30 years (1961-1990) of PRISM climate estimates. Each value represents a 2 x 2 kilometer cell",No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Landscape Data,RHMEAN_WS,Yes,NRSA 1314 Landscape Metrics,"Watershed average relative humidity (percent), from 2km PRISM, derived from 30 years of record (1961-1990).",No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,RHMEAN_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for Watershed average relative humidity (percent), from 2km PRISM, derived from 30 years of record (1961-1990).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RHMEANWS,No,,,Yes,NRSA 1819 Landscape,"Watershed average relative humidity (percent), from 2km PRISM, derived from 30 years of record (1961-1990).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RPU,No,,,Yes,NRSA 1819 Landscape,"Raster Processing Unit that the site falls in, from NHDPlusV21.",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RUNOFF_WS,Yes,NRSA 1314 Landscape Metrics,"Estimated watershed annual runoff, mm/year, mean for the period 1971-2000. Estimation method integrated effects of climate, land use, water use, regulation, etc. The base data layer was estimated from historical USGS streamflow data and hydrologic cataloging units in the conterminous U.S., following the appraoch of Krug and others (1989).",No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,RUNOFF_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all runoff values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,RUNOFFWS,No,,,Yes,NRSA 1819 Landscape,Mean of all runoff values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,S_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all S values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SAND_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all sand values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SANDWS,No,,,Yes,NRSA 1819 Landscape,Mean of all sand values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SIO2_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for Mean of all SiO2 values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SIO2WS,No,,,Yes,NRSA 1819 Landscape,Mean of all SiO2 values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SITE_ID,Yes,NRSA 1314 Landscape Metrics,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Unique Site ID assigned for NRSA13-14 | Site ID",Yes,NRSA 1819 Landscape,"Site ID | Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed."" | Unique Site ID assigned for NRSA13-14",No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Landscape Data,SITETYPE,Yes,NRSA 1314 Landscape Metrics,Site type (Probability-based or hand-picked),No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,SN_2008_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for Annual average of preciptiation-weighted mean deposition for average sulfur & nitrogen concentration for year, 2008, within the upstream watershed (Ws).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SN_2008WS,No,,,Yes,NRSA 1819 Landscape,"Annual average of preciptiation-weighted mean deposition for average sulfur & nitrogen concentration for year, 2008, within the upstream watershed (Ws).",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SUPERFUND_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for density of georeferenced Superfund sites (Superfund.shp) within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SUPERFUND_WS_PCTFULLRP100,No,,,Yes,NRSA 1819 Landscape,Percent of area with data for density of georeferenced Superfund sites (Superfund.shp) within the upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and Superfund.shp landscape layers.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SUPERFUNDDENSWS,No,,,Yes,NRSA 1819 Landscape,Density of georeferenced Superfund sites (Superfund.shp) within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SUPERFUNDDENSWSRP100,No,,,Yes,NRSA 1819 Landscape,Density of georeferenced Superfund sites (Superfund.shp) within the upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and Superfund.shp landscape layers.,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,SWS,No,,,Yes,NRSA 1819 Landscape,Mean of all S values within the upstream watershed (Ws).,No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMAX_WS,Yes,NRSA 1314 Landscape Metrics,"Watershed average of maximum monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",No,,,No,,,2013–2014 only,Not comparable across cycles
Landscape Data,TMAX_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for PRISM climate data - 30-year average annual normal maxmum air temperature (C°):, within the upstream watershed (Ws)",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMAX8110WS,No,,,Yes,NRSA 1819 Landscape,"PRISM climate data - 30-year average annual normal maxmum air temperature (C°):, within the upstream watershed (Ws)",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2004_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2004_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2004WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2005_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2005_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2005WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2008_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2008_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2008WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2009_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2009_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2009WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2013_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2013_WS_PCTFULL,No,,,Yes,NRSA 1819 Landscape,"Percent of area with data for GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2013WS,No,,,Yes,NRSA 1819 Landscape,"GIS raster calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
Landscape Data,TMEAN_PW_2014_PT,No,,,Yes,NRSA 1819 Landscape,"GIS raster value at site location calculated as xi / 3, where xi = the modeled mean air temperature (°C) for month i (12) of the previous year and month i (1-2) of the sample year. The modeled monthly mean air temperature (xi) is the average of the minimum and maximum monthly air temperatures (http://www.prism.oregonstate.edu/faq.phtml). This value estimates the average temperature of the winter just prior to when field sampling was done. Each value represents a 2 x 2 kilometer cell",No,,,2018–2019 only,Not comparable across cycles
